artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mode_Major,mode_Minor,season,genre,num_followers
3.0,13387.0,64.0,1047101291.0,77.0,58.0,247.0,1.0,311.0,79.0,9.0,0.56,0.58,0.56,0.37,0.0,0.11,0.1,1.0,0.0,Summer,pop,12483564.0
3.0,1117.0,80.0,65156199.0,82.0,145.0,65.0,16.0,2.0,144.0,0.0,0.77,0.75,0.58,0.52,0.0,0.23,0.25,1.0,0.0,Summer,pop,12483564.0
1.0,3372.0,19.0,570515054.0,65.0,48.0,138.0,1.0,102.0,122.0,8.0,0.67,0.49,0.64,0.1,0.0,0.1,0.03,1.0,0.0,Fall,pop,22630014.0
1.0,8431.0,76.0,1085685420.0,241.0,127.0,458.0,37.0,332.0,140.0,0.0,0.71,0.82,0.81,0.11,0.0,0.06,0.05,1.0,0.0,Spring,piano rock,16461104.0
1.0,2483.0,59.0,1647990401.0,68.0,21.0,24.0,0.0,259.0,134.0,4.0,0.59,0.51,0.52,0.09,0.0,0.15,0.07,0.0,1.0,Fall,canadian contemporary r&b,74471480.0
2.0,29536.0,79.0,2565529693.0,281.0,137.0,36.0,1.0,140.0,186.0,10.0,0.68,0.49,0.59,0.16,0.0,0.13,0.28,1.0,0.0,Fall,pop,12483564.0
2.0,3408.0,47.0,518745108.0,87.0,86.0,74.0,1.0,16.0,67.0,4.0,0.53,0.5,0.53,0.23,0.0,0.44,0.07,0.0,1.0,Winter,pop,12483564.0
3.0,1298.0,38.0,107753850.0,44.0,64.0,57.0,10.0,110.0,106.0,2.0,0.72,0.17,0.64,0.07,0.0,0.1,0.05,0.0,1.0,Summer,pop,12483564.0
3.0,4277.0,66.0,177740666.0,145.0,111.0,213.0,11.0,810.0,128.0,10.0,0.6,0.23,0.91,0.0,0.0,0.12,0.03,1.0,0.0,Spring,pop,12483564.0
1.0,1133.0,39.0,153372011.0,14.0,71.0,23.0,10.0,176.0,107.0,9.0,0.92,0.55,0.7,0.18,0.0,0.15,0.07,0.0,1.0,Winter,reggaeton,41562822.0
1.0,2259.0,59.0,57876440.0,0.0,0.0,109.0,17.0,0.0,130.0,10.0,0.67,0.96,0.88,0.12,0.19,0.08,0.04,0.0,1.0,Summer,electra,806409.0
1.0,18371.0,83.0,1813673666.0,250.0,122.0,36.0,19.0,-1.0,123.0,7.0,0.45,0.13,0.54,0.7,0.0,0.09,0.04,0.0,1.0,Fall,chill pop,3553410.0
1.0,43899.0,69.0,3703895074.0,672.0,199.0,36.0,20.0,-1.0,171.0,4.0,0.5,0.38,0.8,0.0,0.0,0.09,0.07,1.0,0.0,Fall,canadian contemporary r&b,74471480.0
1.0,2649.0,42.0,256483385.0,67.0,79.0,57.0,1.0,615.0,137.0,10.0,0.64,0.88,0.72,0.51,0.0,0.17,0.05,0.0,1.0,Winter,colombian pop,5624844.0
1.0,6804.0,45.0,1214083358.0,139.0,111.0,161.0,15.0,210.0,125.0,10.0,0.84,0.85,0.68,0.58,0.0,0.22,0.04,0.0,1.0,Spring,colombian pop,13243949.0
1.0,525.0,41.0,16011326.0,34.0,115.0,39.0,6.0,216.0,128.0,0.0,0.86,0.42,0.72,0.59,0.0,0.09,0.19,0.0,1.0,Summer,reggaeton,41562822.0
1.0,7923.0,29.0,812019557.0,106.0,112.0,142.0,4.0,215.0,130.0,0.0,0.61,0.53,0.58,0.55,0.0,0.27,0.04,0.0,1.0,Summer,pop,92584265.0
2.0,731.0,15.0,111947664.0,27.0,17.0,73.0,4.0,167.0,130.0,3.0,0.86,0.59,0.96,0.5,0.01,0.09,0.05,1.0,0.0,Spring,pop,12483564.0
2.0,5184.0,41.0,156338624.0,154.0,84.0,102.0,14.0,37.0,133.0,8.0,0.7,0.86,0.81,0.25,0.0,0.25,0.05,1.0,0.0,Winter,pop,12483564.0
3.0,3107.0,39.0,720434240.0,38.0,0.0,4.0,0.0,0.0,101.0,5.0,0.88,0.72,0.59,0.62,0.0,0.09,0.03,1.0,0.0,Summer,pop,12483564.0
2.0,4053.0,50.0,357925728.0,82.0,121.0,182.0,12.0,171.0,95.0,8.0,0.77,0.53,0.64,0.74,0.0,0.17,0.14,0.0,1.0,Spring,pop,12483564.0
