in_spotify_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,genre,num_followers
46,150,2.0,0,42,20,86,21,0,9,9,Winter,art pop,29649472.0
44,122,2.0,1,78,50,63,27,0,9,5,Winter,pop,12483564.0
25,140,-1.0,0,52,20,85,0,0,7,5,Spring,garage rock,22315809.0
16,140,-1.0,0,63,22,54,46,0,12,8,Summer,pop,12483564.0
46,119,1.0,1,75,48,53,18,0,18,34,Winter,pop,12483564.0
8,110,7.0,1,76,96,72,32,0,9,4,Spring,pop,12483564.0
13,95,8.0,0,60,17,45,16,0,11,2,Winter,pop,115378209.0
23,132,6.0,0,56,20,55,45,1,32,3,Summer,bedroom pop,1934550.0
23,125,10.0,1,77,74,78,4,0,23,11,Winter,modern rock,51049147.0
7,124,3.0,1,84,65,50,67,0,13,6,Spring,pop,12483564.0
8,133,11.0,1,93,68,65,42,0,12,25,Summer,pop,12483564.0
43,112,7.0,0,92,67,66,0,0,36,9,Winter,detroit hip hop,78441713.0
31,97,-1.0,0,79,92,89,5,0,6,5,Summer,pop,12483564.0
32,90,5.0,1,59,52,48,38,5,10,11,Fall,pop,12483564.0
38,80,3.0,1,65,27,69,8,0,53,4,Spring,pop,12483564.0
16,172,9.0,0,45,33,59,6,0,8,3,Winter,neo mellow,3165431.0
14,120,4.0,0,60,24,35,73,0,31,3,Spring,toronto indie,304853.0
21,140,7.0,1,74,96,80,18,0,5,5,Winter,corrido,926584.0
8,128,9.0,1,81,90,77,1,0,9,5,Summer,corrido,9430195.0
14,122,-1.0,0,78,70,81,57,0,10,5,Spring,corridos tumbados,8991482.0
37,130,-1.0,0,47,86,92,8,0,5,24,Winter,pop,241.0
9,160,9.0,0,69,61,71,33,0,31,20,Winter,pop,12483564.0
9,144,5.0,0,73,87,70,6,0,28,5,Winter,dance pop,52175804.0
14,192,11.0,0,50,85,52,11,0,28,6,Spring,pop,12483564.0
27,163,-1.0,0,54,40,67,0,0,9,17,Summer,pop,12483564.0
43,122,1.0,1,66,48,71,6,0,12,4,Winter,piano rock,16461104.0
24,154,2.0,0,61,41,74,21,0,40,6,Spring,canadian pop,74626073.0
26,117,9.0,1,73,31,69,6,0,11,4,Fall,pop rap,20807702.0
26,138,7.0,1,78,89,83,10,0,12,5,Winter,pop,12483564.0
18,96,-1.0,0,86,74,80,33,0,8,6,Summer,latin hip hop,33911613.0
24,104,1.0,0,77,36,63,1,0,36,5,Spring,pop,12483564.0
16,164,8.0,0,45,24,62,8,0,16,3,Winter,pop,92584265.0
13,118,-1.0,0,68,61,82,2,0,50,3,Spring,canadian contemporary r&b,74471480.0
19,81,11.0,1,68,51,60,3,0,19,10,Spring,r&b,4855411.0
19,117,1.0,0,82,73,45,54,0,7,3,Winter,album rock,5732918.0
35,174,2.0,0,45,10,37,97,25,64,4,Winter,indie folk,1372417.0
21,128,1.0,0,73,60,77,3,0,11,4,Winter,pop,12483564.0
11,145,-1.0,0,60,43,27,94,0,14,4,Winter,dance pop,52175804.0
19,150,1.0,1,65,51,55,73,0,14,3,Spring,alt z,4669757.0
16,90,9.0,1,60,13,53,4,0,21,4,Summer,pop,12483564.0
26,85,5.0,0,55,42,53,17,0,22,3,Winter,garage rock,22315809.0
13,180,3.0,0,33,38,71,20,0,28,5,Winter,modern rock,51049147.0
16,166,1.0,0,57,84,94,11,0,37,9,Spring,j-pop,6718827.0
17,160,8.0,0,71,40,50,16,0,16,22,Fall,canadian contemporary r&b,74471480.0
13,160,7.0,0,65,95,80,5,0,41,16,Winter,pop,92584265.0
29,92,2.0,0,70,81,63,4,0,8,4,Winter,garage rock,22315809.0
18,170,-1.0,0,56,53,64,11,0,45,6,Spring,alt z,313652.0
10,96,1.0,1,83,93,65,58,0,9,8,Winter,pop,115378209.0
18,120,8.0,0,67,40,52,86,0,12,4,Fall,boy band,33856068.0
14,98,-1.0,0,70,37,54,6,0,9,8,Winter,pop,12483564.0
7,92,7.0,0,53,12,34,1,0,12,4,Fall,alternative rock,8951706.0
10,150,9.0,0,34,24,56,4,0,11,3,Fall,pop,14316872.0
17,94,5.0,0,37,17,47,2,46,11,3,Spring,ambient pop,8737320.0
8,90,4.0,1,74,36,63,26,0,27,5,Spring,punjabi hip hop,2304199.0
30,160,9.0,0,54,54,55,67,0,42,11,Summer,lgbtq+ hip hop,12175430.0
16,120,-1.0,0,70,59,75,24,0,9,4,Summer,dfw rap,42692662.0
13,109,5.0,0,63,46,85,1,0,9,5,Winter,dance pop,52175804.0
31,129,4.0,1,57,41,66,63,0,12,5,Fall,irish singer-songwriter,6110250.0
22,157,7.0,0,54,75,60,30,0,7,5,Winter,pop,12483564.0
12,130,6.0,0,63,49,73,5,0,9,3,Spring,pop,92584265.0
42,107,5.0,1,65,19,72,10,0,13,25,Spring,reggaeton,76637811.0
11,146,11.0,1,50,67,89,0,0,19,8,Summer,pop,92584265.0
14,139,9.0,1,48,37,41,32,0,10,10,Winter,modern indie pop,438762.0
14,116,-1.0,0,74,76,70,7,0,13,3,Summer,classic rock,6193996.0
36,95,6.0,1,84,52,77,12,0,7,4,Summer,reggaeton,3604180.0
33,170,8.0,1,62,55,80,15,0,37,7,Summer,pop,12483564.0
22,134,6.0,1,81,18,64,3,0,10,11,Winter,k-pop,6084241.0
17,84,6.0,1,57,86,90,2,0,9,5,Fall,album rock,2257870.0
4,146,11.0,1,61,20,48,21,0,12,6,Summer,pop,12483564.0
14,74,10.0,1,53,24,67,11,0,10,28,Spring,pop,12483564.0
29,144,11.0,0,75,35,48,84,0,10,12,Spring,colombian pop,31999573.0
19,136,11.0,1,77,79,73,15,0,27,10,Fall,pop,12483564.0
6,100,4.0,0,56,53,55,53,0,12,4,Spring,pop,12483564.0
19,105,5.0,1,89,67,78,9,0,7,33,Summer,k-pop,13367658.0
0,106,5.0,0,67,24,78,15,0,30,4,Spring,pop,92584265.0
10,132,2.0,0,85,53,68,40,0,9,4,Spring,pop,12483564.0
5,120,9.0,0,78,5,30,21,0,13,5,Summer,pop,12483564.0
13,155,1.0,0,82,51,39,2,0,9,49,Spring,rap,251786.0
5,129,8.0,0,70,42,43,78,0,11,3,Spring,pop,12483564.0
6,135,5.0,1,80,85,74,62,0,8,9,Fall,pop,12483564.0
3,98,10.0,1,73,45,62,28,0,13,13,Summer,pop,12483564.0
18,124,9.0,1,84,64,39,3,0,11,4,Spring,k-pop,2047278.0
0,135,9.0,1,77,28,55,18,0,22,15,Summer,pop,12483564.0
30,107,2.0,0,78,39,53,30,0,11,6,Spring,pop,115378209.0
25,96,2.0,0,54,25,74,14,0,9,11,Fall,pop,12483564.0
34,123,8.0,0,71,58,70,30,0,32,19,Fall,pop,12483564.0
0,90,8.0,0,62,7,62,6,0,58,6,Spring,pop,12483564.0
16,117,5.0,1,72,45,59,14,0,20,21,Winter,pop,12483564.0
8,133,9.0,1,78,90,84,31,0,7,4,Spring,pop,12483564.0
36,96,8.0,1,74,61,83,11,0,35,6,Winter,colombian pop,8244846.0
10,149,8.0,0,66,85,60,40,0,14,13,Winter,pop,12483564.0
2,110,6.0,1,66,32,40,81,0,11,3,Spring,pop,12483564.0
6,105,6.0,0,95,62,52,3,0,5,16,Fall,new jersey underground rap,666707.0
69,105,1.0,0,80,69,78,28,0,11,14,Spring,anime,6962129.0
5,134,11.0,0,76,61,58,6,0,16,3,Spring,pop,12483564.0
36,170,4.0,1,71,59,56,4,0,27,12,Summer,colombian pop,8244846.0
1,81,6.0,0,59,26,60,46,1,25,13,Summer,pop,12483564.0
5,154,6.0,0,63,75,92,31,0,91,5,Spring,pop,12483564.0
12,169,1.0,0,69,69,51,63,0,38,4,Summer,afrofuturism,3854647.0
10,115,7.0,0,78,64,69,4,0,7,14,Summer,pop,12483564.0
6,84,9.0,1,43,14,74,1,0,19,8,Summer,pop,12483564.0
22,93,8.0,0,79,58,62,11,0,11,23,Spring,pop,12483564.0
34,91,7.0,0,82,47,62,10,0,10,15,Spring,pop,12483564.0
6,142,10.0,1,82,54,44,6,0,33,7,Spring,canadian hip hop,81943946.0
0,126,1.0,0,78,20,70,1,0,16,4,Spring,pop,12483564.0
8,97,10.0,0,73,10,44,26,0,16,8,Fall,pop,92584265.0
0,101,5.0,0,92,59,51,41,51,26,8,Summer,pop,12483564.0
33,98,7.0,1,80,23,48,14,0,6,5,Spring,reggaeton,76637811.0
5,154,6.0,0,59,63,89,18,0,80,9,Winter,sertanejo,570089.0
24,120,9.0,0,91,63,58,52,0,31,22,Winter,latin pop,7161935.0
13,150,11.0,0,49,4,55,7,0,6,3,Fall,hip hop,16188407.0
13,174,9.0,0,47,27,78,11,0,10,8,Winter,australian dance,27220480.0
4,202,10.0,0,34,25,51,69,0,18,4,Fall,gen z singer-songwriter,966427.0
18,153,11.0,1,56,42,52,5,0,36,24,Fall,pop,12483564.0
20,142,5.0,0,60,13,37,58,0,13,3,Fall,british soul,52532812.0
4,108,9.0,1,84,55,47,26,0,20,64,Spring,pop,12483564.0
0,143,11.0,0,83,25,69,4,0,23,12,Summer,pop,12483564.0
2,108,2.0,0,67,55,67,60,0,80,5,Winter,pop,12483564.0
27,104,5.0,1,95,78,66,3,0,4,6,Winter,detroit hip hop,78441713.0
